,water_in,water_out,annual_change,lower_limit,mean,upper_limit
2000,12.8,18.2,-5.4,225,350,465
2001,12.744,18.376,-5.632,219.6,344.6,459.6
2002,12.688,18.552,-5.864,213.968,338.968,453.968
2003,12.632,18.728,-6.096,208.104,333.104,448.104
2004,12.576,18.904,-6.328,202.008,327.008,442.008
2005,12.52,19.08,-6.56,195.68,320.68,435.68
2006,12.464,19.256,-6.792,189.12,314.12,429.12
2007,12.408,19.432,-7.024,182.328,307.328,422.328
2008,12.352,19.608,-7.256,175.304,300.304,415.304
2009,12.296,19.784,-7.488,168.048,293.048,408.048
2010,12.24,19.96,-7.72,160.56,285.56,400.56
2011,12.184,20.136,-7.952,152.84,277.84,392.84
2012,12.128,20.312,-8.184,144.888,269.888,384.888
2013,12.072,20.488,-8.416,136.704,261.704,376.704
2014,12.016,20.664,-8.648,128.288,253.288,368.288
2015,11.96,20.84,-8.88,119.64,244.64,359.64
2016,11.904,21.016,-9.112,110.76,235.76,350.76
2017,11.848,21.192,-9.344,101.648,226.648,341.648
2018,11.792,21.368,-9.576,92.304,217.304,332.304
2019,11.736,21.544,-9.808,82.728,207.728,322.728
2020,11.68,21.72,-10.04,72.92,197.92,312.92
2021,11.624,21.896,-10.272,62.88,187.88,302.88
2022,11.568,22.072,-10.504,52.608,177.608,292.608
2023,11.512,22.248,-10.736,42.104,167.104,282.104
2024,11.456,22.424,-10.968,31.368,156.368,271.368
2025,11.4,22.6,-11.2,20.4,145.4,260.4
2026,11.344,22.776,-11.432,9.2,134.2,249.2
2027,11.288,22.952,-11.664,-2.232,122.768,237.768
2028,11.232,23.128,-11.896,-13.896,111.104,226.104
2029,11.176,23.304,-12.128,-25.792,99.208,214.208
2030,11.12,23.48,-12.36,-37.92,87.08,202.08
2031,11.064,23.656,-12.592,-50.28,74.72,189.72
2032,11.008,23.832,-12.824,-62.872,62.128,177.128
2033,10.952,24.008,-13.056,-75.696,49.304,164.304
2034,10.896,24.184,-13.288,-88.752,36.248,151.248
2035,10.84,24.36,-13.52,-102.04,22.96,137.96
2036,10.784,24.536,-13.752,-115.56,9.44,124.44
2037,10.728,24.712,-13.984,-129.312,-4.312,110.688
2038,10.672,24.888,-14.216,-143.296,-18.296,96.704
2039,10.616,25.064,-14.448,-157.512,-32.512,82.488
2040,10.56,25.24,-14.68,-171.96,-46.96,68.04
2041,10.504,25.416,-14.912,-186.64,-61.64,53.36
2042,10.448,25.592,-15.144,-201.552,-76.552,38.448
2043,10.392,25.768,-15.376,-216.696,-91.696,23.304
2044,10.336,25.944,-15.608,-232.072,-107.072,7.928
2045,10.28,26.12,-15.84,-247.68,-122.68,-7.68
2046,10.224,26.296,-16.072,-263.52,-138.52,-23.52
2047,10.168,26.472,-16.304,-279.592,-154.592,-39.592
2048,10.112,26.648,-16.536,-295.896,-170.896,-55.896
2049,10.056,26.824,-16.768,-312.432,-187.432,-72.432
2050,10,27,-17,-329.2,-204.2,-89.2
